leaf_id,revision,iterations,candidate_run1_us,candidate_run2_us,main_run1_us,main_run2_us,upstream_run1_us,upstream_run2_us,upstream_run1_outcome,upstream_run2_outcome,main_vs_upstream_status,main_vs_upstream_run1_speedup_pct,main_vs_upstream_run2_speedup_pct,main_vs_upstream_two_run_speedup_pct,candidate_vs_main_status,candidate_vs_main_run1_speedup_pct,candidate_vs_main_run2_speedup_pct,candidate_vs_main_two_run_speedup_pct,performance_valid,performance_invalid_reason
pfifo_packet_boundary.array_element16_overflow,1,1,16869,16786,17393,16718,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
pfifo_packet_boundary.array_element32_overflow,1,1,32320,32317,32254,32606,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
pfifo_packet_boundary.incrementing_inline_fallback,1,1,106,171,133,111,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
pfifo_packet_boundary.inline_array_overflow,1,1,32496,32376,32607,32891,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
pipeline_texture_switch.clear_texture_normal,1,8,9856,9936,9981,10014,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
pipeline_texture_switch.palette_only_update,1,1,21351,20160,21367,20091,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
pipeline_texture_switch.sampler_only_identity,1,8,23532,23688,23269,23969,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
pipeline_texture_switch.shader_negative_control,1,8,19350,19425,18526,19417,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
pipeline_texture_switch.shared_page_overlap,1,1,20134,20195,19929,20356,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
pipeline_texture_switch.texture_switch,1,8,19307,19662,19050,19617,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
