renderer,group,test_id,baseline_average_us,candidate_average_us,average_delta_percent,baseline_p95_us,candidate_p95_us,p95_delta_percent
opengl,primitive_type,primitive_type.triangle_strip.vertex_shader,746,706,-5.3619,1099,1029,-6.3694
opengl,primitive_type,primitive_type.triangles.fixed_function,1398,1325,-5.2217,1895,1730,-8.7071
opengl,primitive_type,primitive_type.triangles.vertex_shader,1349,1389,2.9652,2181,1886,-13.5259
opengl,report_query,report_query.clear_boundary,751,714,-4.9268,1318,1165,-11.6085
opengl,report_query,report_query.dma_target_switch,820,666,-18.7805,894,880,-1.566
opengl,report_query,report_query.fifo_producer_ordering,888,802,-9.6847,1231,880,-28.5134
opengl,report_query,report_query.multiple_boundaries,550,595,8.1818,810,786,-2.963
opengl,report_query,report_query.single_boundary,548,552,0.7299,784,805,2.6786
opengl,report_query,report_query.zero_query,149,166,11.4094,473,544,15.0106
opengl,surface,surface.basic,12518,12034,-3.8664,15262,15358,0.629
opengl,surface,surface.cpu_read_after_gpu_write,495,561,13.3333,641,776,21.0608
opengl,surface,surface.cpu_read_clean_surface,135,138,2.2222,375,420,12.0
opengl,surface,surface.framebuffer_working_set_002,1317,1272,-3.4169,1717,1670,-2.7373
opengl,surface,surface.framebuffer_working_set_008,1284,1260,-1.8692,1636,1707,4.3399
opengl,surface,surface.framebuffer_working_set_032,1304,1197,-8.2055,1697,1694,-0.1768
opengl,surface,surface.framebuffer_working_set_064,1433,1295,-9.6301,1962,1703,-13.2008
opengl,surface,surface.full_clear_elision_guard,1305,1344,2.9885,1967,2095,6.5074
opengl,surface,surface.overlapping_surface_churn_representative,2092,2129,1.7686,2837,2706,-4.6176
opengl,surface,surface.overlapping_surface_churn_stress,26874,27445,2.1247,31064,31348,0.9142
opengl,surface,surface.partial_channel_clear_guard,1329,1340,0.8277,2103,1977,-5.9914
opengl,surface,surface.surface_download_path,13715,14274,4.0758,14676,20121,37.1014
opengl,surface,surface.surface_list_lookup_002,1237,1335,7.9224,1600,1639,2.4375
opengl,surface,surface.surface_list_lookup_008,1321,1310,-0.8327,1905,1697,-10.9186
opengl,surface,surface.surface_list_lookup_032,1292,1292,0.0,1898,1708,-10.0105
opengl,surface,surface.surface_list_lookup_128,1199,1153,-3.8365,1461,1509,3.2854
opengl,surface,surface.vulkan_memory_pressure.representative.alias_resize,14752,14804,0.3525,17431,18893,8.3874
opengl,surface,surface.vulkan_memory_pressure.representative.growth,13896,13709,-1.3457,16869,16872,0.0178
opengl,surface,surface.vulkan_memory_pressure.representative.idle_retention,1075,731,-32.0,1878,816,-56.5495
opengl,surface,surface.vulkan_memory_pressure.representative.plateau,12770,13206,3.4143,12894,14043,8.9111
opengl,surface,surface.vulkan_memory_pressure.representative.reuse,15257,14211,-6.8559,18984,18480,-2.6549
opengl,surface,surface.vulkan_memory_pressure.stress.alias_resize,56343,57535,2.1156,67120,70115,4.4622
